Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
202020_s_at,LANCL1,ENSG00000115365,1548,2776.9256,-2.34453,0.0029,2.00E-04,
210553_x_at,PCSK6,ENSG00000140479,10021,2777.91,-2.21453,0.0029,2.00E-04,
220192_x_at,SPDEF,ENSG00000124664,19556,2778.9714,-2.5088,0.0029,2.00E-04,
201602_s_at,PPP1R12A,ENSG00000058272,1130,2779.469,-2.41362,0.0029,2.00E-04,
200976_s_at,TAX1BP1,ENSG00000106052,504,2780.1705,-2.41346,0.0029,2.00E-04,
202822_at,LPP,ENSG00000145012,2350,2780.1707,-2.33674,0.0029,2.00E-04,
200603_at,PRKAR1A,ENSG00000108946,131,2782.0074,-2.45037,0.0029,2.00E-04,
214257_s_at,nil,nil,nil,13636,2783.0877,-2.55372,0.0029,2.00E-04
217736_s_at,EIF2AK1,ENSG00000086232,17101,2783.1258,-2.36149,0.0029,2.00E-04,
210547_x_at,ICA1,ENSG00000003147,10015,2783.2315,-2.3264,0.0029,2.00E-04,
210667_s_at,C21orf33,ENSG00000160221,10132,2786.0896,-2.28596,0.0029,2.00E-04,
202224_at,CRK,ENSG00000167193,1752,2787.0629,-2.33432,0.0029,2.00E-04,
209524_at,ENSG00000166503,,9017,2787.4209,-2.39961,0.0029,2.00E-04,
218107_at,WDR26,ENSG00000162923,17472,2787.7133,-2.40227,0.0029,2.00E-04,
214663_at,DSTYK,ENSG00000133059,14039,2789.7152,-2.5345,0.003,2.00E-04,
212122_at,RHOQ,ENSG00000119729,11508,2795.8443,-2.35072,0.003,2.00E-04,
208869_s_at,GABARAPL1,ENSG00000139112,8364,2796.6743,-2.20396,0.003,2.00E-04,
213667_at,SRCAP,ENSG00000080603,13047,2796.9483,-2.25543,0.003,2.00E-04,
220334_at,RGS17,ENSG00000091844,19698,2799.1627,-2.31065,0.0031,2.00E-04,
203815_at,GSTT1,ENSG00000184674,3342,2803.6417,-2.3832,0.0031,2.00E-04,
201553_s_at,LAMP1,ENSG00000185896,1081,2804.455,-2.29612,0.0031,2.00E-04,
35671_at,GTF3C1,ENSG00000077235,21831,2805.7972,-2.19056,0.0031,2.00E-04,
213083_at,SLC35D2,ENSG00000130958,12466,2806.3826,-2.39512,0.0031,2.00E-04,
217789_at,SNX6,ENSG00000129515,17154,2808.2452,-2.44952,0.0031,2.00E-04,
221816_s_at,PHF11,ENSG00000136147,21176,2811.9037,-2.38221,0.0032,2.00E-04,
218388_at,PGLS,ENSG00000130313,17753,2813.0433,-2.40161,0.0032,2.00E-04,
202320_at,GTF3C1,ENSG00000077235,1848,2813.5399,-2.20183,0.0032,2.00E-04,
217591_at,SKIL,ENSG00000136603,16956,2814.0988,-2.22715,0.0032,2.00E-04,
208936_x_at,LGALS8,ENSG00000116977,8431,2816.2033,-2.46827,0.0032,2.00E-04,
221556_at,CDC14B,ENSG00000081377,20919,2817.4095,-2.319,0.0032,2.00E-04,
214798_at,ATP2C2,ENSG00000064270,14174,2817.4895,-2.37825,0.0032,2.00E-04,
200649_at,NUCB1,ENSG00000104805,177,2822.4486,-2.30505,0.0033,2.00E-04,
213049_at,RALGAPA1,ENSG00000174373,12432,2822.8826,-2.44748,0.0033,2.00E-04,
